epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.852,0.85625,0.77691,1.10209,0.75491,0.51804,0.6442,0.47198,1.10685,1.13603,1.22852,0.000960682,0.000960682,0.000960682
43,318.006,0.86076,0.80003,1.11084,0.85184,0.52771,0.61086,0.46582,1.07441,1.10228,1.2148,0.000957015,0.000957015,0.000957015
44,325.141,0.83502,0.7527,1.09722,0.8611,0.45608,0.56217,0.41181,1.11098,1.1595,1.2521,0.000953349,0.000953349,0.000953349
45,332.357,0.84561,0.75655,1.09346,0.79831,0.58409,0.657,0.47607,1.14492,1.12425,1.2907,0.000949683,0.000949683,0.000949683
46,339.503,0.83364,0.73853,1.09408,0.84409,0.52575,0.60471,0.44722,1.08863,1.10338,1.24452,0.000946016,0.000946016,0.000946016
47,346.581,0.84302,0.75101,1.09743,0.70883,0.62275,0.6814,0.48169,1.13843,1.07032,1.26934,0.00094235,0.00094235,0.00094235
48,353.935,0.85832,0.76094,1.10563,0.83039,0.56623,0.63555,0.46866,1.06659,1.04806,1.20728,0.000938684,0.000938684,0.000938684
49,361.118,0.83839,0.76944,1.09971,0.63838,0.64135,0.62988,0.46449,1.08955,1.00231,1.24209,0.000935018,0.000935018,0.000935018
50,368.318,0.81654,0.72736,1.08118,0.74485,0.55565,0.64162,0.46641,1.10131,1.01023,1.26009,0.000931351,0.000931351,0.000931351
51,375.485,0.80314,0.69985,1.07589,0.6292,0.57653,0.61436,0.45174,1.09611,1.04618,1.2346,0.000927685,0.000927685,0.000927685
52,382.646,0.81354,0.71594,1.0817,0.66392,0.61129,0.623,0.45904,1.17529,1.22193,1.32866,0.000924019,0.000924019,0.000924019
53,389.787,0.83252,0.71601,1.08547,0.81241,0.63222,0.71937,0.55085,1.03497,0.99294,1.1867,0.000920352,0.000920352,0.000920352
54,397.155,0.80448,0.6964,1.07684,0.65116,0.75749,0.76034,0.55483,1.06859,0.95901,1.2173,0.000916686,0.000916686,0.000916686
55,404.506,0.79005,0.68895,1.06637,0.70874,0.62005,0.65811,0.488,1.05443,1.06405,1.20527,0.00091302,0.00091302,0.00091302
56,411.69,0.80814,0.68046,1.0772,0.77213,0.55242,0.65697,0.49161,1.08028,1.12983,1.21713,0.000909353,0.000909353,0.000909353
57,418.895,0.80361,0.68927,1.07534,0.69445,0.58606,0.62825,0.47266,1.05643,1.12696,1.20521,0.000905687,0.000905687,0.000905687
58,426.126,0.81332,0.69592,1.06322,0.6665,0.60949,0.66467,0.48528,1.06604,0.99498,1.23995,0.000902021,0.000902021,0.000902021
59,433.305,0.77325,0.66783,1.05329,0.73398,0.60387,0.66369,0.50926,1.00543,0.95467,1.18318,0.000898355,0.000898355,0.000898355
60,440.46,0.77317,0.65515,1.05438,0.71494,0.64812,0.68211,0.50579,1.05518,1.00897,1.19987,0.000894688,0.000894688,0.000894688
61,447.675,0.7745,0.64226,1.04772,0.63479,0.6424,0.68206,0.51084,1.05367,0.96786,1.19105,0.000891022,0.000891022,0.000891022
62,454.858,0.78662,0.67251,1.06146,0.68986,0.50702,0.58667,0.41222,1.19725,1.24463,1.38404,0.000887356,0.000887356,0.000887356
63,462.067,0.80653,0.69078,1.07003,0.801,0.57667,0.68498,0.51886,1.05603,0.94995,1.20866,0.000883689,0.000883689,0.000883689
64,469.238,0.78383,0.67292,1.06147,0.65081,0.61045,0.62133,0.47248,1.13807,1.17378,1.25575,0.000880023,0.000880023,0.000880023
65,476.37,0.77389,0.64882,1.04686,0.79917,0.56058,0.65463,0.47729,1.08651,1.00048,1.23915,0.000876357,0.000876357,0.000876357
66,483.555,0.77725,0.6384,1.05281,0.73888,0.61756,0.68429,0.51319,1.07459,0.95729,1.21366,0.000872691,0.000872691,0.000872691
67,490.691,0.78733,0.6675,1.0596,0.64504,0.66856,0.70541,0.52243,1.04456,0.93724,1.18533,0.000869024,0.000869024,0.000869024
68,497.865,0.7618,0.64608,1.04945,0.81105,0.57869,0.69531,0.52086,1.05904,0.97765,1.21144,0.000865358,0.000865358,0.000865358
69,505.03,0.76917,0.64925,1.06566,0.70284,0.66989,0.71143,0.54304,1.05069,1.00185,1.19608,0.000861692,0.000861692,0.000861692
70,512.205,0.75973,0.64044,1.04379,0.71301,0.65888,0.70494,0.53654,1.05159,0.94411,1.20844,0.000858025,0.000858025,0.000858025
71,519.373,0.73452,0.63054,1.0309,0.755,0.68871,0.72176,0.55558,1.03669,0.97216,1.19274,0.000854359,0.000854359,0.000854359
72,526.53,0.7465,0.61068,1.03743,0.62237,0.54764,0.62195,0.46713,1.03629,1.02969,1.18341,0.000850693,0.000850693,0.000850693
73,533.654,0.74124,0.61233,1.04173,0.83735,0.58113,0.66086,0.50141,1.05227,0.98129,1.21143,0.000847026,0.000847026,0.000847026
74,540.785,0.75462,0.63052,1.05307,0.7846,0.66539,0.71328,0.54663,1.08723,1.06545,1.2333,0.00084336,0.00084336,0.00084336
75,547.937,0.74331,0.61941,1.03935,0.65984,0.68626,0.70647,0.53739,1.03341,0.89658,1.177,0.000839694,0.000839694,0.000839694
76,555.074,0.72491,0.61905,1.03518,0.75486,0.60117,0.69242,0.52869,1.06149,0.97289,1.21776,0.000836027,0.000836027,0.000836027
77,562.196,0.72772,0.59486,1.03283,0.74485,0.58213,0.68458,0.509,1.10502,0.99135,1.25719,0.000832361,0.000832361,0.000832361
78,569.29,0.74378,0.59244,1.0252,0.77104,0.6774,0.75396,0.55962,1.05565,0.89327,1.20958,0.000828695,0.000828695,0.000828695
79,576.569,0.72503,0.60135,1.03928,0.80083,0.65126,0.75887,0.5784,1.02266,0.8357,1.16951,0.000825029,0.000825029,0.000825029
80,583.986,0.7264,0.59656,1.03924,0.8084,0.67569,0.75286,0.56246,1.04975,0.86417,1.20803,0.000821362,0.000821362,0.000821362
81,591.127,0.71333,0.58495,1.02695,0.68977,0.69672,0.73243,0.53617,1.05521,0.92622,1.20133,0.000817696,0.000817696,0.000817696
82,598.348,0.72509,0.59341,1.02942,0.72778,0.67316,0.70635,0.5363,1.01566,0.89646,1.1575,0.00081403,0.00081403,0.00081403
83,605.46,0.72162,0.58078,1.03455,0.78676,0.63531,0.69388,0.53954,1.02767,0.93298,1.18905,0.000810363,0.000810363,0.000810363
84,612.616,0.70876,0.56779,1.0214,0.89502,0.64314,0.7466,0.58444,1.0121,0.90225,1.18033,0.000806697,0.000806697,0.000806697
85,619.921,0.70798,0.58998,1.02248,0.74968,0.68274,0.70721,0.52539,1.05551,0.88866,1.21666,0.000803031,0.000803031,0.000803031
86,627.051,0.73012,0.59004,1.02145,0.7373,0.62967,0.65417,0.49023,1.0256,0.95224,1.18472,0.000799365,0.000799365,0.000799365
87,634.219,0.7256,0.58593,1.02769,0.75839,0.69106,0.72866,0.57356,0.98874,0.89366,1.14967,0.000795698,0.000795698,0.000795698
88,641.406,0.7049,0.56185,1.01646,0.8011,0.69117,0.75589,0.58955,1.00861,0.85592,1.17118,0.000792032,0.000792032,0.000792032
89,648.781,0.70874,0.56489,1.02285,0.76541,0.65599,0.77287,0.59642,1.00591,0.85301,1.17278,0.000788366,0.000788366,0.000788366
90,656.081,0.70162,0.56888,1.0168,0.83166,0.72905,0.80978,0.62336,0.98751,0.81457,1.15223,0.000784699,0.000784699,0.000784699
91,663.425,0.69374,0.56152,1.01398,0.69665,0.63052,0.68685,0.52369,1.02355,0.95886,1.1726,0.000781033,0.000781033,0.000781033
92,670.632,0.69653,0.56212,1.01762,0.68488,0.64077,0.66989,0.50105,1.05041,0.92721,1.19713,0.000777367,0.000777367,0.000777367
93,677.695,0.69801,0.56531,1.02034,0.7969,0.59465,0.68143,0.51862,1.04977,0.93688,1.2021,0.0007737,0.0007737,0.0007737
94,684.833,0.68576,0.55412,1.00838,0.70706,0.65254,0.70304,0.5335,1.0271,0.86642,1.16891,0.000770034,0.000770034,0.000770034
95,691.96,0.68982,0.53861,1.00215,0.75587,0.61129,0.67636,0.51497,1.0243,0.89982,1.17663,0.000766368,0.000766368,0.000766368
96,699.134,0.70914,0.56723,1.01697,0.80935,0.57979,0.69497,0.52665,1.0436,0.9449,1.19957,0.000762702,0.000762702,0.000762702
97,706.337,0.6853,0.54577,1.01376,0.79171,0.66778,0.70921,0.55036,1.00742,0.92724,1.19819,0.000759035,0.000759035,0.000759035
98,713.524,0.68051,0.53869,1.00093,0.78383,0.68838,0.73939,0.57817,1.01261,0.84368,1.20994,0.000755369,0.000755369,0.000755369
99,720.651,0.6719,0.53619,1.00542,0.70884,0.6312,0.69296,0.54197,1.00744,0.92858,1.21125,0.000751703,0.000751703,0.000751703
100,727.797,0.68669,0.55082,0.99834,0.79185,0.63861,0.70858,0.54294,1.0138,0.89359,1.17911,0.000748036,0.000748036,0.000748036
101,734.916,0.68062,0.53799,1.00226,0.80937,0.65925,0.76426,0.61323,0.97686,0.87157,1.14329,0.00074437,0.00074437,0.00074437
102,742.075,0.67357,0.53704,0.99703,0.72488,0.65893,0.69215,0.54068,0.97316,0.80412,1.13797,0.000740704,0.000740704,0.000740704
103,749.176,0.66563,0.5244,0.99562,0.75211,0.6716,0.75586,0.58658,0.99687,0.82712,1.15692,0.000737037,0.000737037,0.000737037
104,756.262,0.68698,0.54636,1.00621,0.79303,0.64608,0.74158,0.57426,0.99601,0.8691,1.16557,0.000733371,0.000733371,0.000733371
105,763.412,0.67024,0.52548,1.00493,0.78408,0.66773,0.71991,0.56681,0.98909,0.89063,1.15223,0.000729705,0.000729705,0.000729705
106,770.551,0.65114,0.51865,1.00038,0.76912,0.60454,0.69731,0.54391,0.99759,0.89741,1.1578,0.000726038,0.000726038,0.000726038
107,777.731,0.66003,0.50905,0.98836,0.79857,0.58384,0.67713,0.51778,0.99504,0.89346,1.16531,0.000722372,0.000722372,0.000722372
108,784.865,0.65317,0.52112,0.9873,0.67951,0.64202,0.6707,0.53,1.0301,0.9922,1.20038,0.000718706,0.000718706,0.000718706
109,792.069,0.6606,0.53255,0.99366,0.74828,0.59475,0.65595,0.49999,1.00868,0.91642,1.16982,0.00071504,0.00071504,0.00071504
110,799.284,0.66982,0.5243,1.00589,0.79118,0.64907,0.7393,0.5932,0.99014,0.89832,1.15979,0.000711373,0.000711373,0.000711373
111,806.449,0.65388,0.50404,0.98599,0.7629,0.66614,0.72948,0.56467,1.01383,0.88165,1.16734,0.000707707,0.000707707,0.000707707
